RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,YTD VICTORIES
154,0,36884,Ben Kohles,$658427
155,0,48153,Matthieu Pavon,$634425
156,0,27129,Luke List,$634020
157,0,29535,Brice Garnett,$631678
158,0,59160,John Pak,$622055
159,0,33199,Matteo Manassero,$617348
160,0,46601,Trey Mullinax,$615755
161,0,58933,Will Chandler,$567658
162,0,28775,Nate Lashley,$559402
163,0,58605,Quade Cummins,$556303
164,0,60882,Thomas Rosenmueller,$556197
165,0,32139,Danny Willett,$550599
166,0,49453,Trevor Cone,$544059
167,0,35706,Niklas Norgaard,$543656
168,0,34255,Joseph Bramlett,$489712
169,0,40115,Adam Svensson,$487188
170,0,54783,Dylan Wu,$486226
171,0,51690,Taylor Dickson,$463642
172,0,47988,Nick Hardy,$432097
173,0,29221,Webb Simpson,$382319
174,0,55708,Hayden Buckley,$379692
175,0,47056,Rikuya Hoshino,$363756
176,0,33413,Ben Martin,$335350
177,0,65256,David Ford,$319398
178,0,32757,Patton Kizzire,$317724
179,0,52144,Braden Thornberry,$301674
180,0,58619,Kevin Velo,$290109
181,0,64693,Matthew Riedel,$287732
182,0,34466,Peter Malnati,$282493
183,0,52514,Trace Crowe,$279315
184,0,24925,Jonathan Byrd,$268118
185,0,66743,Luke Clanton,$251429
186,0,39859,Cristobal Del Solar,$250132
187,0,32791,K.H. Lee,$244845
188,0,27214,Kevin Streelman,$226037
189,0,25198,Francesco Molinari,$219875
190,0,32070,Rafael Campos,$216757
191,0,52370,Mason Andersen,$213335
192,0,36871,Matt NeSmith,$201635
193,0,29908,C.T. Pan,$186829
194,0,29478,Kevin Kisner,$181498
195,0,51070,Vincent Norrman,$168514
196,0,22371,Aaron Baddeley,$167011
197,0,23320,Ryan Palmer,$159928
198,0,27936,Martin Laird,$158373
199,0,55623,Kaito Onishi,$145336
200,0,64442,Gordon Sargent,$113848
201,0,46435,Austin Cook,$112640
202,0,25818,Scott Piercy,$109755
203,0,32448,James Hahn,$102032
204,0,34563,Chesson Hadley,$101470
205,0,47079,Harrison Endycott,$93990
206,0,50474,Tim Widing,$80950
207,0,32640,Troy Merritt,$78835
208,0,48084,Wesley Bryan,$74068
209,0,26476,Chez Reavie,$68786
210,0,49303,Anders Albertson,$56282
211,0,32333,Kevin Tway,$51746
212,0,32982,Vince Covello,$51276
213,0,46441,Robby Shelton,$50297
214,0,25686,Jason Dufner,$44625
215,0,27095,Nick Watney,$43499
216,0,45609,Tyler Duncan,$42650
217,0,10860,Justin Leonard,$41550
218,0,50823,Tom McKibbin,$40674
219,0,30927,Brendon Todd,$32500
220,0,50497,Adrien Dumont de Chassart,$29450
221,0,50188,S.H. Kim,$28000
222,0,29970,Dylan Frittelli,$27400
223,0,23983,Luke Donald,$27014
224,0,31113,Paul Waring,$26401
225,0,30750,Tommy Gainey,$26093
226,0,24490,George McNeill,$25362
227,0,49964,Aaron Wise,$22709
228,0,20766,Padraig Harrington,$18810
229,0,32366,Kevin Chappell,$18124
230,0,55454,Carl Yuan,$17920
231,0,32816,Satoshi Kodaira,$14560
232,0,52374,Brandon Wu,$8760
233,0,24924,Bill Haas,$8680
234,0,39954,Cody Gribble,$8640
235,0,33122,Russell Knox,$8360
236,0,31560,Brian Stuard,$8280
