RANK,MOVEMENT,PLAYER_ID,PLAYER,FINISH POSITION,# OF WINS,# OF TOP-10S
207,0,27095,Nick Watney,23,0,0,7433
208,0,46441,Robby Shelton,21,0,0,7435
209,0,32640,Troy Merritt,21,0,0,7435
210,0,50474,Tim Widing,19,0,0,7437
211,0,50497,Adrien Dumont de Chassart,18,0,0,7438
211,0,45609,Tyler Duncan,18,0,0,7438
213,0,29970,Dylan Frittelli,17,0,0,7439
214,0,50188,S.H. Kim,17,0,0,7439
215,0,32333,Kevin Tway,14,0,0,7442
216,0,50823,Tom McKibbin,13,0,0,7443
217,0,24490,George McNeill,13,0,0,7443
218,0,26476,Chez Reavie,13,0,0,7443
219,0,49303,Anders Albertson,10,0,0,7446
220,0,10860,Justin Leonard,9,0,0,7447
221,0,31113,Paul Waring,9,0,0,7447
222,0,30750,Tommy Gainey,8,0,0,7448
223,0,23983,Luke Donald,8,0,0,7448
224,0,49964,Aaron Wise,6,0,0,7450
225,0,55454,Carl Yuan,6,0,0,7450
226,0,30927,Brendon Todd,4,0,0,7452
227,0,32982,Vince Covello,4,0,0,7452
228,0,32366,Kevin Chappell,3,0,0,7453
228,0,20766,Padraig Harrington,3,0,0,7453
230,0,52374,Brandon Wu,3,0,0,7453
231,0,39954,Cody Gribble,3,0,0,7453
232,0,65256,David Ford,3,0,1,7453
233,0,24924,Bill Haas,2,0,0,7454
234,0,33122,Russell Knox,2,0,0,7454
235,0,31560,Brian Stuard,2,0,0,7454
236,0,47079,Harrison Endycott,2,0,0,7454
237,0,25686,Jason Dufner,1,0,0,7455
